capture_id,Attack_Type,Label,prediction
c2_15,c2_beacon,1,slow_dos
c2_15,c2_beacon,1,bruteforce
c2_15,c2_beacon,1,bruteforce
c2_15,c2_beacon,1,bruteforce
c2_15,c2_beacon,1,bruteforce
c2_15,c2_beacon,1,bruteforce
c2_15,c2_beacon,1,bruteforce
c2_15,c2_beacon,1,bruteforce
c2_15,c2_beacon,1,bruteforce
c2_15,c2_beacon,1,bruteforce
c2_15,c2_beacon,1,bruteforce
c2_15,c2_beacon,1,bruteforce
c2_15,c2_beacon,1,bruteforce
c2_15,c2_beacon,1,bruteforce
c2_15,c2_beacon,1,bruteforce
c2_15,c2_beacon,1,bruteforce
c2_15,c2_beacon,1,bruteforce
c2_15,c2_beacon,1,bruteforce
c2_15,c2_beacon,1,bruteforce
c2_15,c2_beacon,1,bruteforce
c2_15,c2_beacon,1,bruteforce
c2_15,c2_beacon,1,bruteforce
c2_15,c2_beacon,1,bruteforce
c2_15,c2_beacon,1,bruteforce
c2_15,c2_beacon,1,bruteforce
c2_15,c2_beacon,1,bruteforce
c2_15,c2_beacon,1,bruteforce
c2_15,c2_beacon,1,bruteforce
c2_15,c2_beacon,1,bruteforce
c2_15,c2_beacon,1,bruteforce
c2_15,c2_beacon,1,bruteforce
c2_15,c2_beacon,1,bruteforce
c2_15,c2_beacon,1,bruteforce
c2_15,c2_beacon,1,bruteforce
c2_15,c2_beacon,1,bruteforce
c2_15,c2_beacon,1,bruteforce
c2_15,c2_beacon,1,bruteforce
c2_15,c2_beacon,1,bruteforce
c2_15,c2_beacon,1,bruteforce
c2_15,c2_beacon,1,bruteforce
c2_15,c2_beacon,1,bruteforce
c2_15,c2_beacon,1,bruteforce
c2_15,c2_beacon,1,bruteforce
c2_15,c2_beacon,1,bruteforce
c2_15,c2_beacon,1,bruteforce
c2_15,c2_beacon,1,bruteforce
c2_15,c2_beacon,1,bruteforce
c2_15,c2_beacon,1,bruteforce
flood_15,dos_flood,1,slow_dos
flood_15,dos_flood,1,bruteforce
flood_15,dos_flood,1,bruteforce
flood_15,dos_flood,1,bruteforce
flood_15,dos_flood,1,bruteforce
flood_15,dos_flood,1,bruteforce
flood_15,dos_flood,1,bruteforce
flood_15,dos_flood,1,bruteforce
flood_15,dos_flood,1,bruteforce
flood_15,dos_flood,1,bruteforce
flood_15,dos_flood,1,bruteforce
flood_15,dos_flood,1,bruteforce
flood_15,dos_flood,1,bruteforce
flood_15,dos_flood,1,bruteforce
flood_15,dos_flood,1,bruteforce
flood_15,dos_flood,1,bruteforce
flood_15,dos_flood,1,bruteforce
flood_15,dos_flood,1,bruteforce
flood_15,dos_flood,1,bruteforce
flood_15,dos_flood,1,bruteforce
flood_15,dos_flood,1,bruteforce
mqtt_abuse_15,mqtt_abuse,1,slow_dos
mqtt_abuse_15,mqtt_abuse,1,dos_flood
mqtt_abuse_15,mqtt_abuse,1,dos_flood
mqtt_abuse_15,mqtt_abuse,1,dos_flood
mqtt_abuse_15,mqtt_abuse,1,dos_flood
mqtt_abuse_15,mqtt_abuse,1,dos_flood
mqtt_abuse_15,mqtt_abuse,1,dos_flood
mqtt_abuse_15,mqtt_abuse,1,dos_flood
mqtt_abuse_15,mqtt_abuse,1,dos_flood
mqtt_abuse_15,mqtt_abuse,1,dos_flood
mqtt_abuse_15,mqtt_abuse,1,dos_flood
mqtt_abuse_15,mqtt_abuse,1,dos_flood
mqtt_abuse_15,mqtt_abuse,1,dos_flood
mqtt_abuse_15,mqtt_abuse,1,dos_flood
mqtt_abuse_15,mqtt_abuse,1,dos_flood
mqtt_abuse_15,mqtt_abuse,1,dos_flood
mqtt_abuse_15,mqtt_abuse,1,dos_flood
mqtt_abuse_15,mqtt_abuse,1,dos_flood
mqtt_abuse_15,mqtt_abuse,1,dos_flood
mqtt_abuse_15,mqtt_abuse,1,dos_flood
mqtt_abuse_15,mqtt_abuse,1,dos_flood
mqtt_abuse_15,mqtt_abuse,1,dos_flood
mqtt_abuse_15,mqtt_abuse,1,dos_flood
mqtt_abuse_15,mqtt_abuse,1,dos_flood
mqtt_abuse_15,mqtt_abuse,1,dos_flood
mqtt_abuse_15,mqtt_abuse,1,dos_flood
mqtt_abuse_15,mqtt_abuse,1,dos_flood
mqtt_abuse_15,mqtt_abuse,1,dos_flood
mqtt_abuse_15,mqtt_abuse,1,dos_flood
mqtt_abuse_15,mqtt_abuse,1,dos_flood
mqtt_abuse_15,mqtt_abuse,1,dos_flood
mqtt_abuse_15,mqtt_abuse,1,dos_flood
mqtt_abuse_15,mqtt_abuse,1,dos_flood
mqtt_abuse_15,mqtt_abuse,1,dos_flood
mqtt_abuse_15,mqtt_abuse,1,dos_flood
mqtt_abuse_15,mqtt_abuse,1,dos_flood
mqtt_abuse_15,mqtt_abuse,1,dos_flood
mqtt_abuse_15,mqtt_abuse,1,dos_flood
mqtt_abuse_15,mqtt_abuse,1,dos_flood
mqtt_abuse_15,mqtt_abuse,1,dos_flood
slow_dos_15,slow_dos,1,dos_flood
slow_dos_15,slow_dos,1,dos_flood
slow_dos_15,slow_dos,1,dos_flood
slow_dos_15,slow_dos,1,dos_flood
slow_dos_15,slow_dos,1,dos_flood
slow_dos_15,slow_dos,1,dos_flood
slow_dos_15,slow_dos,1,dos_flood
slow_dos_15,slow_dos,1,dos_flood
slow_dos_15,slow_dos,1,dos_flood
slow_dos_15,slow_dos,1,dos_flood
slow_dos_15,slow_dos,1,dos_flood
slow_dos_15,slow_dos,1,dos_flood
slow_dos_15,slow_dos,1,dos_flood
slow_dos_15,slow_dos,1,dos_flood
slow_dos_15,slow_dos,1,dos_flood
slow_dos_15,slow_dos,1,dos_flood
slow_dos_15,slow_dos,1,dos_flood
slow_dos_15,slow_dos,1,dos_flood
slow_dos_15,slow_dos,1,dos_flood
slow_dos_15,slow_dos,1,dos_flood
slow_dos_15,slow_dos,1,dos_flood
slow_dos_15,slow_dos,1,dos_flood
slow_dos_15,slow_dos,1,dos_flood
slow_dos_15,slow_dos,1,dos_flood
slow_dos_15,slow_dos,1,dos_flood
slow_dos_15,slow_dos,1,dos_flood
slow_dos_15,slow_dos,1,dos_flood
slow_dos_15,slow_dos,1,dos_flood
slow_dos_15,slow_dos,1,dos_flood
slow_dos_15,slow_dos,1,dos_flood
slow_dos_15,slow_dos,1,dos_flood
slow_dos_15,slow_dos,1,dos_flood
